u1,u2,q1d,q1,q2d,q2,dq1d,dq1,dq2d,dq2,ddq1d,ddq1,ddq2d,ddq2
0,NaN,-115,1.92,1.57,-0.52,0,0,0,0,0,0,0,0
59,-115,1.92,1.57,-0.52,0,0,0,0,0,0,0,0,0
59,-115,1.92,1.57,-0.52,0,0,0,0,0,0,0,0,0
64,-111,1.92,1.57,-0.52,0,0,0,0,-0.26,0,0,0,-26.18
63,-111,1.92,1.57,-0.52,-0.01,0,0.26,0,-0.26,0,26.18,0,0
62,-110,1.92,1.58,-0.52,-0.01,0,0.26,0,-0.26,0,0,0,0
61,-107,1.92,1.58,-0.52,-0.02,0,0.26,0,-0.26,0,0,0,0
59,-104,1.92,1.58,-0.52,-0.03,0,0.26,0,-0.26,0,0,0,0
58,-98,1.92,1.59,-0.52,-0.05,0,0.26,0,-0.26,0,0,0,0
56,-93,1.92,1.59,-0.52,-0.08,0,0.26,0,-0.26,0,0,0,0
54,-87,1.92,1.6,-0.52,-0.1,0,0.26,0,-0.26,0,0,0,0
52,-81,1.92,1.6,-0.52,-0.13,0,0.26,0,-0.26,0,0,0,0
50,-74,1.92,1.61,-0.52,-0.15,0,0.26,0,-0.26,0,0,0,0
47,-67,1.92,1.62,-0.52,-0.18,0,0.26,0,-0.26,0,0,0,0
46,-59,1.92,1.63,-0.52,-0.21,0,0.26,0,-0.26,0,0,0,0
42,-51,1.92,1.63,-0.52,-0.25,0,0.26,0,-0.26,0,0,0,0
39,-41,1.92,1.64,-0.52,-0.28,0,0.26,0,-0.26,0,0,0,0
36,-34,1.92,1.65,-0.52,-0.31,0,0.26,0,-0.26,0,0,0,0
34,-28,1.92,1.65,-0.52,-0.34,0,0.26,0,-0.26,0,0,0,0
32,-23,1.92,1.66,-0.52,-0.36,0,0.26,0,-0.26,0,0,0,0
29,-17,1.92,1.67,-0.52,-0.38,0,0.26,0,-0.26,0,0,0,0
26,-11,1.92,1.68,-0.52,-0.41,0,0.26,0,-0.26,0,0,0,0
23,-4,1.92,1.69,-0.52,-0.43,0,0.26,0,-0.26,0,0,0,0
21,1,1.92,1.69,-0.52,-0.46,0,0.26,0,-0.26,0,0,0,0
18,6,1.92,1.7,-0.52,-0.48,0,0.26,0,-0.26,0,0,0,0
16,11,1.92,1.71,-0.52,-0.5,0,0.26,0,-0.26,0,0,0,0
14,15,1.92,1.71,-0.52,-0.52,0,0.26,0,-0.26,0,0,0,0
12,19,1.92,1.72,-0.52,-0.53,0,0.26,0,-0.26,0,0,0,0
10,23,1.92,1.72,-0.52,-0.55,0,0.26,0,-0.26,0,0,0,0
8,25,1.92,1.73,-0.52,-0.56,0,0.26,0,-0.26,0,0,0,0
5,27,1.92,1.74,-0.52,-0.57,0,0.26,0,-0.26,0,0,0,0
4,29,1.92,1.74,-0.52,-0.57,0,0.26,0,-0.26,0,0,0,0
2,29,1.92,1.74,-0.52,-0.58,0,0.26,0,-0.26,0,0,0,0
0,30,1.92,1.75,-0.52,-0.58,0,0.26,0,-0.26,0,0,0,0
-1,30,1.92,1.75,-0.52,-0.58,0,0.26,0,-0.26,0,0,0,0
-2,30,1.92,1.76,-0.52,-0.58,0,0.26,0,-0.26,0,0,0,0
-14,23,1.92,1.76,-0.52,-0.58,0,0.26,0,0.26,0,0,0,52.36
-16,23,1.92,1.77,-0.52,-0.58,0,0.26,0,0.26,0,0,0,0
-17,22,1.92,1.77,-0.52,-0.57,0,0.26,0,0.26,0,0,0,0
-19,22,1.92,1.78,-0.52,-0.57,0,0.26,0,0.26,0,0,0,0
-20,21,1.92,1.78,-0.52,-0.57,0,0.26,0,0.26,0,0,0,0
-22,21,1.92,1.78,-0.52,-0.57,0,0.26,0,0.26,0,0,0,0
-24,20,1.92,1.79,-0.52,-0.57,0,0.26,0,0.26,0,0,0,0
-25,19,1.92,1.79,-0.52,-0.56,0,0.26,0,0.26,0,0,0,0
-27,18,1.92,1.8,-0.52,-0.56,0,0.26,0,0.26,0,0,0,0
-28,17,1.92,1.8,-0.52,-0.56,0,0.26,0,0.26,0,0,0,0
-29,17,1.92,1.8,-0.52,-0.56,0,0.26,0,0.26,0,0,0,0
-30,16,1.92,1.8,-0.52,-0.55,0,0.26,0,0.26,0,0,0,0
-30,14,1.92,1.8,-0.52,-0.55,0,0.26,0,0.26,0,0,0,0
-30,14,1.92,1.8,-0.52,-0.54,0,0.26,0,0.26,0,0,0,0
-30,13,1.92,1.8,-0.52,-0.54,0,0.26,0,0.26,0,0,0,0
-30,12,1.92,1.8,-0.52,-0.54,0,0.26,0,0.26,0,0,0,0
-30,11,1.92,1.8,-0.52,-0.53,0,0.26,0,0.26,0,0,0,0
-30,10,1.92,1.8,-0.52,-0.53,0,0.26,0,0.26,0,0,0,0
-29,10,1.92,1.8,-0.52,-0.53,0,-0.26,0,0.26,0,-52.36,0,0
-29,9,1.92,1.8,-0.52,-0.53,0,-0.26,0,0.26,0,0,0,0
-28,9,1.92,1.8,-0.52,-0.52,0,-0.26,0,0.26,0,0,0,0
-28,8,1.92,1.8,-0.52,-0.52,0,-0.26,0,0.26,0,0,0,0
-27,7,1.92,1.8,-0.52,-0.52,0,-0.26,0,0.26,0,0,0,0
-27,7,1.92,1.8,-0.52,-0.52,0,-0.26,0,0.26,0,0,0,0
-26,6,1.92,1.79,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-26,6,1.92,1.79,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-25,5,1.92,1.79,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-24,6,1.92,1.79,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-24,6,1.92,1.79,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-23,5,1.92,1.79,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-22,5,1.92,1.78,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-22,5,1.92,1.78,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-21,5,1.92,1.78,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-21,5,1.92,1.78,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-21,5,1.92,1.78,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-21,5,1.92,1.78,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-21,5,1.92,1.78,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-21,5,1.92,1.78,-0.52,-0.51,0,-0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,52.36,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
-22,4,1.92,1.78,-0.52,-0.51,0,0.26,0,0.26,0,0,0,0
